id,start (sec),end (sec),description,length
CRTUY,17.7,22.1,person throw something on the floor.,26.54
CRTUY,22.1,28.0,person closes the door to it.,26.54
CRTUY,4.9,10.9,a person puts a bag.,26.54
93ESZ,5.6,12.1,person dresses up by the door.,29.12
EWCV4,8.4,17.1,person takes his shoes off.,30.21
EWCV4,0.0,6.7,a man is laying on a floor in the doorway.,30.21
NKTWF,1.5,7.9,a person walks into the living room holding a bag.,20.08
NKTWF,1.5,7.9,person they put the bag on a chair.,20.08
NKTWF,1.5,7.9,this person walks in holding a bag.,20.08
PQUF6,4.2,14.0,person washes their hands.,22.92
PQUF6,14.5,19.1,person try to open a cabinet.,22.92
PQUF6,14.5,19.1,the person tries opening a cabinet.,22.92
R08G9,16.1,27.3,person starts sneezing.,31.71
QDRWK,0.0,6.6,person opens the door.,29.5
QDRWK,21.8,30.0,the person puts a book on a shelf.,29.5
QDRWK,23.7,30.0,person puts on shelf.,29.5
7EYIL,12.8,19.1,person is opening a refrigerator.,25.88
7EYIL,17.3,22.9,person takes out a bag.,25.88
7EYIL,12.8,19.1,person they open the refrigerator.,25.88
KWONB,2.0,8.4,a person is throwing clothes into a closet.,29.58
KWONB,0.0,6.3,a person opens the closet door.,29.58
6CMWO,0.0,6.8,a person is undressing.,31.5
6CMWO,19.9,27.8,person starts laughing.,31.5
ZWE6N,2.0,8.8,a person takes a cup of coffee from the table.,37.71
ZWE6N,21.6,29.0,the person takes a bag.,37.71
6NWDR,25.1,32.7,the person takes a bottle of medicine from the desk.,32.5
6NWDR,1.2,14.9,a person is sneezing.,32.5
0EGNU,0.7,9.0,person they put the pillow on a chair.,45.29
UBC9N,14.4,24.4,person begins pouring it into a glass.,30.58
UBC9N,14.4,24.4,person pours medicine into a glass.,30.58
8MR9I,0.8,6.5,a person is laughing.,25.42
8MR9I,0.4,6.8,person talking on the phone.,25.42
UK8KW,23.3,31.0,person eat a sandwich.,29.75
UK8KW,23.3,31.0,a person standing in a doorway eating a sandwich.,29.75
UK8KW,20.2,31.0,a person stands in the door holding a sandwich.,29.75
07AWM,9.1,20.2,person snuggling a pillow.,24.17
07AWM,15.2,25.0,person begins to laugh.,24.17
5S1WQ,0.0,2.6,a person throws a broom.,31.46
OVMCM,12.9,19.8,the person takes a towel from the shelf.,30.92
OVMCM,0.0,12.2,a person awakens sitting in a chair.,30.92
OVMCM,0.0,4.3,a person awakens in a chair in their recreation room.,30.92
LWINQ,0.0,6.7,a person begins undressing.,29.5
LWINQ,9.8,17.8,person sit on the sofa with blanket over the head.,29.5
LWINQ,9.8,17.8,person sits on a couch.,29.5
LWINQ,9.8,17.8,the person sits on the sofa.,29.5
3C8OG,0.7,5.6,person they take a bottle.,29.96
3C8OG,18.6,29.2,the person the opens a bag.,29.96
3C8OG,18.9,23.5,person take a book from their bag.,29.96
3C8OG,0.0,4.7,a person is working on a laptop.,29.96
NKOJ8,6.6,13.9,the person opens the door to pick up a device.,25.58
NKOJ8,6.0,17.9,a person walks through the doorway into an office.,25.58
DOGYU,0.6,8.7,person takes out a shoe box.,31.04
DOGYU,3.8,16.0,there is a person sitting in a chair.,31.04
DOGYU,5.9,12.7,the person in the chair is smiling.,31.04
DOGYU,3.8,16.0,another person is sitting in a chair.,31.04
DOGYU,0.0,9.6,person opens a box.,31.04
DOGYU,19.3,32.0,person recloses the box.,31.04
A96EQ,0.0,6.7,the person pushes the door open.,33.29
A96EQ,0.5,7.5,person walks through the doorway into the room.,33.29
3XDQC,0.0,4.3,one person with hair in a towel is smiling.,17.04
USNP1,4.3,11.4,person they take a phone out of their pocket.,19.0
VSAA7,30.6,37.0,person begin snuggling under a blanket in the living room.,36.21
IXISD,10.7,15.6,the person is putting their shoes on the floor.,30.25
IXISD,3.9,13.1,a person is laughing.,30.25
IXISD,12.9,18.7,person put their feet up on the table.,30.25
IXISD,8.2,13.5,person take off their shoes.,30.25
IXISD,3.9,13.1,person they laugh.,30.25
D1D55,22.1,36.7,person sitting in the office chair for a moment.,36.5
D1D55,22.1,36.7,person sits in a chair.,36.5
7SUTI,18.9,29.5,another person looks out the window.,31.46
SWZWL,21.7,33.0,takes a picture of the second person.,31.75
8K380,16.8,32.0,person the other was sneezing into a pillow.,30.75
00T4B,10.9,20.3,person they ended by putting on their shoes.,20.17
00T4B,10.9,20.3,person puts on shoes.,20.17
ZEID0,0.0,4.0,one person is sneezing on homework.,26.96
RZDEA,6.7,14.6,a person is smiling with a glass in their hand.,28.83
RZDEA,0.0,6.9,a person is holding a glass.,28.83
EIK9W,0.5,6.8,person holding a cup.,35.88
I049A,23.7,31.0,person put on some shoes.,30.25
D7KU2,7.7,14.1,a person is putting a broom in a corner.,31.0
5XLBY,27.7,32.0,person puts book on table.,30.83
E6IL3,0.0,3.8,a person is sitting on the floor reading a magazine.,31.21
E6IL3,0.0,3.7,a person is smiling.,31.21
E6IL3,0.0,3.1,person reading a book.,31.21
YBVVZ,0.0,12.4,a person starts to tidy up a table.,35.12
YBVVZ,15.2,23.1,person put food on a shelf.,35.12
YBVVZ,0.0,12.4,a person is tidying a table.,35.12
YBVVZ,15.2,23.1,person putting food on a shelf.,35.12
WPFKR,18.5,27.4,person opens a cabinet.,29.38
WPFKR,1.8,7.2,a person takes off their shoes.,29.38
SJ6X6,1.7,10.3,person runs up the driveway into the garage.,24.71
SJ6X6,7.9,12.8,person throws the book into red pillow over.,24.71
YH7K4,16.9,30.0,person eats it.,28.92
YH7K4,5.0,16.4,person drinking a cup of coffee.,28.92
ZRITA,0.0,12.0,person eating a sandwich.,23.96
ZRITA,0.0,11.6,person one on sofa eating.,23.96
D52S5,16.4,23.6,person he sits down in a chair.,32.0
D52S5,6.2,12.9,person takes a seat at the table.,32.0
D52S5,25.2,33.0,the person reaches behind the person to open the cabinet.,32.0
D52S5,21.4,33.0,person grabs a drink from a bottle.,32.0
D52S5,6.2,12.9,person eats some more food.,32.0
D52S5,6.2,12.9,person eats it.,32.0
IWF0U,4.6,21.0,person sits on a chair.,33.0
IWF0U,5.4,19.3,a person is pouring a drink in a glass.,33.0
IWF0U,5.4,19.3,person pours a drink into a glass.,33.0
K5IAK,10.6,17.1,person enters the bedroom holding a vacuum.,32.71
1J3I0,2.3,7.1,person putting the laptop on the couch.,23.75
1J3I0,0.0,7.8,one person closes a laptop.,23.75
GR5N6,10.1,18.0,person they stand up.,16.88
GR5N6,10.2,17.9,person throw the book across the room.,16.88
GR5N6,10.2,17.9,person throw the book through a doorway.,16.88
KW3BO,6.6,13.1,person taking a drink of water from a cup.,28.0
KW3BO,0.0,6.8,a person eats some food.,28.0
KW3BO,0.0,6.8,person is eating box of candy.,28.0
KW3BO,11.0,23.9,person starts laughing.,28.0
FHXKQ,0.0,8.6,a person is putting some groceries on a table.,30.08
A2771,19.7,32.0,another person takes a laptop from a shelf.,30.92
YAPN7,2.6,17.5,person sits on the couch.,41.33
YAPN7,22.4,38.4,person takes a bite from a piece of food.,41.33
YAPN7,2.3,6.6,a person undresses in the recreation room.,41.33
YAPN7,3.8,8.6,person eating some food from a bag.,41.33
CIBGY,0.0,9.4,a person washes their hands in a sink.,30.21
CIBGY,0.0,9.4,person washing hands at the sink.,30.21
CIBGY,24.2,29.8,person open a door.,30.21
CIBGY,0.0,9.4,a person is washing their hands.,30.21
85OEC,28.0,35.5,person sitting on the sofa.,36.75
I0HIX,0.0,7.4,a person is working on a laptop on a desk.,25.83
I0HIX,0.0,7.4,a person sits at their desk working on their laptop.,25.83
2G6A8,16.8,23.9,person runs from the room though the door.,26.04
2G6A8,16.8,23.9,person runs out of the room.,26.04
2G6A8,16.0,20.9,person turning off the light behind them.,26.04
2G6A8,16.0,20.9,the person suddenly turns off the light.,26.04
FFBK3,22.3,29.1,person they put the book in a bag.,33.25
SXI64,5.6,13.5,person undressing in front of their mirror glass.,32.21
13YII,0.0,4.2,a person is putting things in a kitchen cupboard.,26.04
JVISI,21.7,35.6,person takes off his shoes.,37.54
JVISI,31.8,39.0,person he takes a drink from the cup.,37.54
B8BSY,12.7,18.4,person sneezing at the same time.,31.79
ZAIHG,8.4,18.9,person puts it on a table near a window.,30.92
KU2T0,0.0,8.2,one person is sitting in a chair tossing a pillow.,30.42
KX7FC,32.0,38.0,person begins closing the cabinet over the sink.,36.62
KX7FC,32.0,38.0,person closed the cabinets beneath the sink.,36.62
EFI64,18.0,26.9,person watching laptop kept something on the desk.,30.33
EFI64,18.0,26.9,person watching something in the laptop drinking some coffee.,30.33
P3WQV,29.5,44.2,person they sit on bed.,45.58
P3WQV,29.5,44.2,person sitting in front of a mirror in a bedroom.,45.58
K7X5G,24.4,32.2,person started to close the laptop.,32.58
K7X5G,24.4,32.2,person closes their laptop.,32.58
YE991,18.4,28.0,person drinking a glass of water at the stove.,27.04
0FVYR,12.6,17.4,a person opens a door.,37.42
0FVYR,22.2,27.5,person drinks from a glass.,37.42
0FVYR,10.2,16.0,person opening a closet.,37.42
MNGT1,10.7,16.8,person they close the laptop.,33.67
MNGT1,28.0,35.0,person put it in a bag.,33.67
MNGT1,10.7,16.8,the person closed the laptop.,33.67
MNGT1,1.7,14.3,a person sits on the stairs working on their laptop.,33.67
MNGT1,28.0,35.0,person puts the bag over their shoulder.,33.67
PZ0MM,5.7,14.5,person they pour some more water into their cup.,30.12
PZ0MM,0.0,8.0,the person drinks from the glass.,30.12
PZ0MM,11.9,19.5,person walks through a doorway.,30.12
PZ0MM,11.9,19.5,person they walk through the doorway.,30.12
3GXB7,23.3,31.1,person sitting down at the table.,31.38
4GDTQ,8.1,16.9,a person opens a book.,27.5
10INO,62.1,83.1,person play on their phone.,87.21
XNO6M,16.8,21.7,a person turns off the light.,25.58
XNO6M,16.8,21.7,person turn off the light.,25.58
39T0D,17.3,33.5,the person started sneezing because of all the dust.,33.58
555RO,13.9,21.2,person closes the bathroom door.,30.46
555RO,17.7,31.0,person working on fixing the bathroom door.,30.46
C6LDA,16.7,32.0,person sitting in a chair.,30.75
C6LDA,0.0,9.1,a man fixed his hair in a mirror.,30.75
E1U37,5.1,10.0,person throwing it on the floor.,10.25
9SP9P,5.7,13.0,person drinking from a coffee cup.,31.88
9SP9P,5.7,13.0,person starts drinking from a cup.,31.88
6XGUE,4.4,10.8,one person eats a sandwich.,42.88
6XGUE,16.0,22.4,person opens a laptop.,42.88
GYAR9,19.3,30.5,the person throws the blanket on the floor.,37.96
GANC6,13.6,19.6,person start sneezing from the dust.,27.38
GANC6,1.6,6.5,person puts it on the table.,27.38
P23HN,5.3,10.9,person open up a book.,25.25
PBGYV,0.0,4.7,a person opens a door.,31.58
PBGYV,0.0,4.7,a person opens the door to their bathroom.,31.58
PBGYV,11.8,25.8,person takes a picture.,31.58
330ZE,0.0,3.7,person they take some bagged food.,28.21
330ZE,0.5,12.9,person putting groceries on the table.,28.21
OLSMC,0.0,4.1,a person is sneezing into the mirror.,8.46
K5OQO,5.2,11.7,a person closes a door.,30.62
K5OQO,0.0,8.0,one person puts a sandwich on the bathroom shelf.,30.62
K5OQO,5.2,11.7,person closes the doorknob to the bathroom.,30.62
L8N31,21.2,26.9,person turn off the light.,31.29
L8N31,21.2,26.9,person turns off the light.,31.29
A0T30,7.6,15.2,person take a small towel.,27.67
A0T30,7.6,15.2,person they take a towel from a table.,27.67
QB8O7,0.0,8.0,person smiling at a picture on a laptop.,36.12
F3ULU,15.4,21.9,the person is putting it on a shelf.,31.5
TS75H,15.4,20.0,person grabs a bite to eat.,30.08
TS75H,0.9,6.1,a person is standing in a garage sneezing.,30.08
TS75H,15.4,20.0,person they eat a sandwich.,30.08
TS75H,0.0,13.6,a person holding medicine sneezes twice.,30.08
TS75H,0.0,13.6,person holding a bottle of medicine sneezing they sit down.,30.08
MEYZ5,13.9,19.4,person they stand up.,29.96
MEYZ5,15.4,25.4,person open a window on a cabinet behind their head.,29.96
NU09Z,13.3,17.8,a person is tidying up a shelf in the kitchen.,24.58
AXIW1,32.9,38.0,person take a drink from a glass of water.,37.42
AXIW1,25.7,34.6,the person takes off the person's shoes.,37.42
GLH5S,0.4,5.5,a person sits in a chair.,29.5
GLH5S,4.5,9.8,person they stand up.,29.5
GLH5S,9.5,14.6,person put the thing back on the table.,29.5
RBCU4,17.8,24.4,person takes a book.,37.04
K0C0A,0.0,15.5,a person sits in a chair.,37.38
K0C0A,23.6,38.0,person begin to put groceries away.,37.38
K0C0A,15.0,21.3,the person opens a bag of groceries.,37.38
L58KN,8.2,13.6,person they put the towel down.,30.42
L58KN,0.0,13.4,a person is in their bedroom holding a towel.,30.42
9D37U,22.5,32.0,person begin playing a short puzzle game on their phone.,30.58
4GWNV,3.6,12.8,person holding a camera.,19.21
4GWNV,10.6,17.8,a person closes a door.,19.21
4GWNV,10.6,17.8,person pulling the door closed behind them.,19.21
4GWNV,4.6,10.0,person closes a medicine cabinet.,19.21
0RI7C,2.5,7.5,person hey close the book.,31.25
0RI7C,0.0,7.0,a person is sitting in the bathroom reading a book.,31.25
CMD0M,17.7,30.7,person pours themselves a glass of water.,29.58
CMD0M,17.7,30.7,the person pours some liquid into a glass.,29.58
YM5CV,18.9,24.8,person put the camera on a table.,23.75
U8X15,10.2,15.7,a person stands in a room holding a camera.,23.12
U8X15,10.3,20.2,person prepare to take a picture.,23.12
KPHP5,2.3,10.4,person turning on a light.,30.58
KPHP5,23.9,32.0,person begins sneezing.,30.58
Z6HSZ,19.4,26.5,person they close a nearby open door.,30.38
Z6HSZ,12.3,21.3,person eating a sandwich who walks to the bathroom.,30.38
Z6HSZ,12.3,21.3,person eating a sandwich.,30.38
B7T3B,12.2,22.0,one person takes a picture from a box.,31.25
B7T3B,12.2,22.0,person they take a photograph from a box.,31.25
B7T3B,7.9,14.5,person looked out a window.,31.25
B7T3B,20.4,28.4,a person walks through a doorway.,31.25
I5Q2Z,25.5,32.0,a woman is holding two cups of tea.,30.71
I5Q2Z,0.0,5.4,a person is pouring coffee between two cups.,30.71
I5Q2Z,12.6,16.8,person prepares to eat his food.,30.71
9L71W,30.2,33.0,the person looks at the picture for a moment.,32.12
CMI7U,0.0,5.2,a person is sitting on a chair holding books.,35.33
CMI7U,14.6,21.3,person puts the books on a shelf.,35.33
CMI7U,14.6,21.3,person the putting books on a shelf in the hallway.,35.33
RCA3E,23.4,31.0,person they go to wash their hands in a sink.,29.88
RCA3E,23.4,31.0,person they are washing their hands in the sink.,29.88
JW2HC,0.0,5.0,a person runs into a bedroom holding a sandwich.,30.42
JW2HC,0.0,5.0,a person runs into a room holding a book.,30.42
JW2HC,1.0,6.0,person they eat the sandwich.,30.42
JW2HC,1.0,6.0,person entered the room by eating sandwich.,30.42
JW2HC,1.0,6.0,person eating a sandwich.,30.42
GF6TR,4.1,9.4,person puts something else on the shelf.,31.92
GF6TR,0.0,4.9,the person runs into the closet.,31.92
GF6TR,4.2,9.2,person throws the pillow onto a shelf.,31.92
GF6TR,0.0,9.0,person holding a pillow.,31.92
6VF2L,7.7,15.8,a person walks through a doorway.,34.58
UU2LH,8.6,18.2,person sit on the bed to put her shoes on.,24.25
LTYK5,0.0,5.3,a person is smiling in the laundry room.,28.17
LTYK5,12.9,17.9,person closes the dryer door.,28.17
LTYK5,2.3,16.2,person putting clothes in the washer.,28.17
LTYK5,2.3,16.2,person putting the clothes inside of the dryer.,28.17
DJ7DG,11.7,18.0,person they stand up.,30.75
DJ7DG,0.0,14.6,a person sits on the floor.,30.75
DJ7DG,0.0,14.6,a person sits on the floor in a doorway.,30.75
KHWG2,2.1,9.3,person drinking from a glass.,30.25
XIUQJ,0.0,11.0,person drinking from a glass.,35.08
XIUQJ,21.6,26.6,person they take their shoes off.,35.08
XIUQJ,21.6,26.6,person they take off their shoes.,35.08
QFVMA,23.3,34.0,person looks out a window.,32.54
QFVMA,23.3,34.0,person they look out the window.,32.54
HRR0X,0.0,11.3,a person is sitting in a chair.,25.83
HRR0X,20.0,25.1,person take a bite of some food.,25.83
HRR0X,14.1,20.8,person hits a light switch.,25.83
HRR0X,21.5,27.0,person eat an apple.,25.83
HRR0X,14.1,20.8,person they turn on a light.,25.83
HRR0X,9.4,16.5,person holding a book.,25.83
HRR0X,9.4,16.5,a person awakens in their dining room holding a book.,25.83
OWLRQ,23.8,31.3,person they start sneezing.,31.25
OWLRQ,17.6,23.0,person take a picture with the camera.,31.25
ZP5TG,3.3,10.7,another person is laughing.,42.46
ZP5TG,0.0,5.8,one person is eating.,42.46
ZP5TG,0.0,5.8,person 1 of them is eating food.,42.46
ZP5TG,0.0,5.8,a person is eating food on the bed.,42.46
9IXS4,14.6,20.4,person turns off a light.,23.83
9IXS4,14.6,20.4,person they turn off the light.,23.83
X4WWH,10.2,15.8,person closes the door.,33.25
X4WWH,7.8,13.2,the person opens the closet door.,33.25
9KYMU,16.9,23.9,person opening a box with shoes in it.,27.33
9KYMU,0.0,13.2,a person runs back in forth in the garage.,27.33
9KYMU,0.0,13.2,a person is running by a window.,27.33
TCGAY,24.7,31.9,person they put a glass onto a chair.,31.42
TCGAY,21.3,32.0,person start tidying themselves with a towel.,31.42
MY9UC,0.0,6.1,a person is in the kitchen washing dishes.,30.0
MY9UC,18.6,31.0,a different person is sitting on the kitchen table.,30.0
MY9UC,0.0,6.1,a person is washing dishes using a sponge.,30.0
MY9UC,0.0,6.1,a person is standing in a kitchen washing dishes.,30.0
ISTQI,3.0,11.5,a person takes a book off a shelf.,30.58
63GDX,25.3,29.6,the person puts the box down.,31.42
63GDX,9.5,18.3,the person opens a box.,31.42
F3O37,5.8,10.5,a person is throwing dirty shoes into the laundry.,30.71
KQLIJ,11.0,16.6,person throws it on the floor.,30.62
KQLIJ,0.0,8.6,a person is playing with a camera.,30.62
KQLIJ,0.0,8.3,a person is holding a camera.,30.62
Y9WZW,32.7,46.6,person she drinks from a cup.,49.54
NU4XA,16.9,22.9,person sit down in another chair.,30.75
NU4XA,26.6,32.0,person watch television.,30.75
NU4XA,6.8,13.5,person opens a door.,30.75
NU4XA,16.9,22.9,person sitting in a chair who gets up.,30.75
GLLNH,24.3,31.1,person takes a picture of something through the doorway.,31.04
GLLNH,14.3,20.8,person takes out a phone.,31.04
GLLNH,24.3,31.1,person takes a picture in the doorway.,31.04
GLLNH,24.3,31.1,person take a picture.,31.04
GLLNH,14.3,20.8,the person takes out a camera.,31.04
GLLNH,14.3,20.8,person takes out their phone.,31.04
TW6NZ,0.0,12.7,a person is sitting on a sofa.,32.75
TW6NZ,0.0,12.7,a person is sitting on a couch.,32.75
TW6NZ,21.4,27.4,person they are smiling.,32.75
TW6NZ,0.0,12.7,a person sits down on the sofa.,32.75
TW6NZ,1.6,12.4,person begins undressing.,32.75
SQY6A,16.2,27.5,person picks up a box closes itand puts it back.,33.12
SQY6A,10.1,15.4,person picks up shoes puts them back down.,33.12
GNPSK,0.0,4.2,person sitting in a chair eating.,31.67
GNPSK,0.0,4.2,a person is sitting at a desk eating an apple.,31.67
GNPSK,0.0,4.2,a person is eating at the table.,31.67
B8W55,18.8,27.7,person the open a cabinet.,30.58
SL9P2,26.0,32.0,person drinking some medicine from a rather large cup.,31.25
SL9P2,0.0,11.9,a person is playing on their laptop.,31.25
SL9P2,0.0,11.9,person working on laptop sitting down taking medicine.,31.25
J8781,4.5,14.1,person sits in a chair.,19.96
J8781,3.4,10.1,person putting on their shoes.,19.96
J8781,4.5,14.1,person sitting on a chair.,19.96
J8781,14.5,21.0,person closes the door.,19.96
J8781,0.0,6.0,a person is getting dressed in the bedroom.,19.96
J8781,14.5,21.0,person closing the door behind them.,19.96
J8781,4.5,14.1,person sitting in a chair.,19.96
A0ZW3,9.0,15.8,the person is awakening on a blanket.,32.42
D4LRR,11.6,19.1,person they open a laptop.,30.42
D4LRR,0.0,11.1,person takes a picture of themselves.,30.42
X4CZH,3.6,10.3,person off a light switch.,34.88
X4CZH,3.6,10.3,person turned on the light.,34.88
X4CZH,0.0,6.0,a person is looking out a window.,34.88
X4CZH,3.6,10.3,opening it the person fixed the light bulb!.,34.88
X4CZH,3.6,10.3,person take the light bulb from over head.,34.88
LT13Z,8.3,14.0,person fixes his hair.,30.75
LT13Z,10.1,21.2,a person is undressing by the mirror.,30.75
8MY8P,7.8,17.2,the person begins cooking it in a microwave.,30.58
8MY8P,0.6,7.1,a person takes some food off the shelf.,30.58
GIZCL,3.9,16.6,one person holds a box of groceries.,31.08
0WU7S,6.2,11.5,a person takes a bag from a cabinet.,32.71
0WU7S,3.1,8.2,person they open the cabinet.,32.71
0WU7S,17.7,34.0,person they start eating the chips.,32.71
D740L,11.6,21.4,person opens bag.,31.71
D740L,1.3,10.1,person takes clothes out.,31.71
D740L,26.4,31.5,person throws empty bag on floor.,31.71
LP1F3,0.0,6.4,a person is sneezing.,32.62
LP1F3,0.0,6.4,a person sitting at their desk begins sneezing uncontrollably.,32.62
QL92H,0.2,8.1,a person is running in holding a bag.,21.75
QL92H,6.9,15.3,person sitting on a chair.,21.75
JXNEN,15.5,27.0,person they sit down on a sofa.,25.75
JXNEN,10.4,17.7,person eating a sandwich.,25.75
JXNEN,15.5,27.0,person laughs at them.,25.75
HCM5Y,0.0,7.7,person seated in front of a mirror.,19.5
HCM5Y,0.0,7.7,a person is sitting on the floor eating some food.,19.5
HCM5Y,0.0,7.7,a person eats.,19.5
HCM5Y,0.0,7.7,person looks like eating something.,19.5
STAFD,3.3,12.0,person eating a sandwich.,62.38
N50C6,4.2,9.6,a person is holding a glass.,20.67
7K2CS,17.9,31.0,person starts eating.,30.08
7K2CS,17.9,31.0,person begins eating it.,30.08
7K2CS,17.9,31.0,person eats from s container.,30.08
7K2CS,5.8,19.2,person begins undressing.,30.08
2LMQF,13.8,22.9,person they pour water into a cup.,28.75
2LMQF,0.0,13.2,person eating a sandwich.,28.75
2LMQF,0.0,13.2,a person is sitting at the table eating a sandwich.,28.75
2LMQF,0.0,13.2,a person is eating a sandwich.,28.75
2LMQF,13.8,22.9,person they pour water into another glass.,28.75
D8YOL,0.0,10.8,a person is seen working on their laptop.,29.29
D8YOL,0.0,10.8,person sits on a chair working on their laptop.,29.29
REOES,11.6,17.8,person puts the book down.,25.38
REOES,15.4,21.3,person they take out a camera.,25.38
REOES,16.6,26.0,person takes a picture of themselves.,25.38
TFQNW,13.7,21.0,person goes to the window to run in place.,20.33
AUYOZ,15.6,20.3,person takes a phone from their pocket.,29.54
KSDFR,19.5,26.9,this person pours something in a glass.,30.92
OK2TU,37.7,46.0,person closes the door.,49.96
OK2TU,33.5,42.0,person opens the door.,49.96
CC87Z,7.5,18.1,person closed the door.,31.12
CC87Z,4.2,12.6,the person opened the door to the room.,31.12
AVJFE,10.8,19.8,person is sitting at table eating.,32.04
ZVCMM,3.7,10.9,a person is standing in the kitchen eating something.,26.38
ZVCMM,14.1,20.9,person closes the cabinet.,26.38
ZVCMM,3.7,10.9,a person is eating food.,26.38
ZVCMM,16.6,27.0,person putting dishes in a sink in a kitchen.,26.38
ZVCMM,8.6,14.3,the person opens a cabinet.,26.38
J84TZ,0.0,6.5,a person is awakening on a couch.,19.88
J84TZ,16.2,21.0,person walk to the doorway.,19.88
J84TZ,16.2,21.0,person walks through a doorway.,19.88
243Y9,20.5,28.5,person eats something out of a plastic bag.,32.08
243Y9,17.7,27.5,person sits down in a chair.,32.08
243Y9,20.5,28.5,person starts eating.,32.08
243Y9,17.7,27.5,a person sits on a chair.,32.08
243Y9,17.7,27.5,another person is sitting in a chair eating breakfast.,32.08
PWO7A,11.9,19.9,person closes the door behind them.,19.08
9GOUI,12.0,19.9,person running up the steps.,18.75
9GOUI,0.4,6.2,a person smiles as they eat a sandwich.,18.75
9GOUI,12.0,19.9,person run up the stairs.,18.75
9GOUI,3.5,9.5,person drink a cup of coffee on the stairs.,18.75
9GOUI,12.0,19.9,the person runs up the stairs.,18.75
9GOUI,0.4,6.2,a person is sitting on the stairs eating a sandwich.,18.75
YA7M0,32.1,38.7,person takes a sip of coffee from a cup.,47.21
YA7M0,32.1,38.7,person takes a sip of water from a glass.,47.21
GQR08,0.0,7.6,a person awakens holding a bag.,31.29
JZB97,1.5,7.3,person they put the towel down.,32.08
JZB97,0.0,5.1,a person takes some clothes.,32.08
JZB97,22.1,31.9,person laughs at a video that's playing.,32.08
XUTJZ,12.8,24.0,person looking out a window.,35.12
XUTJZ,12.8,24.0,person looking into a room out the window.,35.12
GXDGV,3.2,8.6,a person puts a camera around their neck.,35.62
VNQES,23.9,31.0,person put the box down on a table.,39.21
VNQES,23.9,31.0,person they put the box on a table.,39.21
VNQES,6.0,13.4,a person is laughing at something in a box.,39.21
M7KH7,18.9,28.7,person putting it back on the shelf.,39.0
88LYX,0.0,8.7,a person is cooking on their stove.,29.04
88LYX,0.0,8.7,person go back to cooking.,29.04
88LYX,0.0,8.7,a person is cooking on the stove.,29.04
88LYX,8.5,16.4,person wash a glass.,29.04
88LYX,0.0,8.7,there is a person cooking on a stove.,29.04
O7KDK,0.0,6.2,a person is running into the room.,17.25
O7KDK,0.0,6.2,a person runs in to a bedroom.,17.25
ZZ9RN,9.9,19.6,person starts sneezing.,30.08
WBX8F,25.2,30.0,person they stand back up turn on the light.,31.96
WBX8F,25.2,30.0,person leaving the light on.,31.96
WBX8F,25.2,30.0,the person turns the light on.,31.96
MTA02,20.0,25.1,another person is closing the refrigerator.,24.58
6QPNW,13.5,21.4,a person is smiling at a pair of shoes.,30.67
6QPNW,13.5,21.4,another person stands near smiling.,30.67
CVX9F,0.0,6.7,person takes a picture of the stove with a camera.,16.58
CVX9F,0.0,6.7,person they take a picture of the stove.,16.58
8IBNY,29.1,42.7,person takes some medicine.,50.58
8IBNY,9.6,17.2,a person pours something into a glass.,50.58
8IBNY,9.6,17.2,a person pours a glass of water.,50.58
YQ6Z6,5.5,16.3,the person takes a pillow from the dryer.,22.75
YQ6Z6,16.8,22.9,person closes door.,22.75
YQ6Z6,3.5,10.3,person opens door.,22.75
YQ6Z6,5.5,16.3,person takes pillow out of dryer.,22.75
YQ6Z6,5.5,16.3,person takes a pillow out of a dryer.,22.75
QJIAV,0.0,7.3,a person is eating food at the kitchen table.,32.17
QJIAV,0.0,7.3,a person is standing at a counter eating.,32.17
K90LN,2.9,9.3,person opening rice from a bag into a pot.,28.17
KK8N9,5.7,11.0,person takes a phone off a shelf.,12.17
KK8N9,7.8,13.0,person so they start laughing.,12.17
IZSPN,1.2,8.3,person opens a cabinet.,30.75
IZSPN,1.2,8.3,a person is opening a cabinet in their home office.,30.75
OBTP8,3.5,11.8,a person opens a door.,31.08
OBTP8,3.5,11.8,person opens a door.,31.08
PV856,27.7,33.3,a person opens a door.,43.96
PV856,27.7,33.3,a person opens a door in their garage.,43.96
PV856,2.6,7.3,person closes the door.,43.96
RE1M6,21.6,26.1,person turn off the light.,27.04
RE1M6,21.6,26.1,person turn off a light.,27.04
DH9JU,12.2,17.1,person takes a broom.,29.71
DH9JU,0.0,14.8,person begins to wash dishes.,29.71
RFMRB,0.0,10.5,a man holding a blanket.,31.42
RFMRB,10.1,17.1,a person is putting a blanket on a chair.,31.42
B7HDN,15.0,22.0,the person starts laughing as he is eating.,30.58
B7HDN,15.0,27.0,a person eats a sandwich.,30.58
B7HDN,15.0,27.0,person eating a sandwich.,30.58
B7HDN,15.0,27.0,person resumes eating.,30.58
B7HDN,15.0,22.0,person they pause to laugh at something on the screen.,30.58
42PMR,14.5,19.9,person takes a box.,38.79
WIOOY,2.9,9.1,person puts bag of groceries on table.,30.67
WIOOY,12.4,27.0,the person is cooking something.,30.67
WIOOY,12.4,27.0,person starts cooking.,30.67
ONT61,5.0,18.0,a person puts a towel onto the shelf.,31.71
ONT61,16.9,23.1,person looks at the picture on the wall.,31.71
BCONW,6.3,21.4,person pours water into a cup.,31.75
BCONW,6.3,21.4,a person holding a bag pours water into a glass.,31.75
